title,company,location,link
데이터 사이언티스트 지향하는 데이터 엔지니어,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=385c58c7ced1d77b
기후변화감시과 무기계약 근로자,기상청,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e060e1d70dba315e
Security Operations Center Analyst,Booz Allen Hamilton,경기도 평택,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3e207b801bb540db
메시지발송 플랫폼 개발자,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=eaee1538d8cc832f
플랫폼 채팅모듈 개발자,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3b752abecf619fe5
Security Engineer,이베이 코리아,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4688f7b98878484e
[개발]Python 백엔드 개발자(정규직),위메프,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a4946f6098077a45
Quant 트레이딩 부문,벨에포크자산운용,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3e617a8ed7934773
데스크탑 가상화(VDI) 엔지니어,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=530a598184580c95
데브옵스 솔루션 개발자,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=692486e7a2b0522e
(Search) 쇼핑검색 AI 기술 개발 신입/경력사원 모집,NAVER,성남 정자동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=924d1be5b05890da
Cross Border e-Commerce - Business Intelligence for Korea Market,Shopee,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=69b824318cebcbb9
[Robotics] Robot Software Engineer,네이버,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2531a0c578f5ca30
FDS 서버 개발,LINE Plus corporation,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=deb23c0881100256
"Design Consultant, Sr II",Synopsys,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=33da210b05e4dac7
Systems Engineer,Hewlett Packard Enterprise,대전,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=6ed2963730d3c340
글로벌 소셜카지노 Product Manager (Live Ops & Data Analysis),네오위즈,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b4979096d15bccbd
데이터분석가(게임어뷰징 탐지),Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ea3b136c0ff59524
[Search] [Vision] Computer Vision Engineer 신입/경력사원,네이버,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=fe383fbe18dc32e1
게임이상탐지팀 서비스 개발자,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e787fde04b998e1a
Back-end Engineer (Python),Soomgo,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=752a4b5d63eac97c
"연구소 우수인재 (SW개발, HW개발, FW개발, 영상처리, AI, 기구설계, 영상개선개발)",제노레이,성남 중원구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1ee2005a03291881
제2020-1회 수리 및 계산 과학 연구단 데이터사이언스그룹 연구직,기초과학연구원,대전,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5931380bf0919d90
"Cybersecurity Policy Specialist, Mid",Booz Allen Hamilton,경기도 평택,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=45773a15dc174fee
[Autonomous Driving] Virtual Environment Simulation Engineer,네이버,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5ed0334bca0963cb
TA,제이씨이,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8eca56448e2574c8
네이버 일본 맛집 서비스 CONOMI 머신러닝 개발자,네이버,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=feac8a234b715106
Solutions Architect,Cloudera,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a459013391a3d600
Technical Consultant Intern,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7c10dc52b2252e38
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=55a19c92c845685e
Field Application Engineer (FAE) – Korea/Asia,LUCID Vision Labs,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=06995d4800ce38f3
